,Solar,Wind Offshore,Wind Onshore
0,0.0,267.36059774215425,180.45427096101102
1,0.0,308.34461577108584,193.81034862812288
2,0.0,341.52574249361913,201.3098589215365
3,0.0,359.37612342724117,207.32210576705006
4,27.771703104770754,345.66018980073363,203.78293825975635
5,0.0,326.5738291339361,192.63734825285053
6,249.77148737325024,318.60748911831035,182.56017268335984
7,342.8301392641913,253.06537260832533,172.04831528693367
8,476.6091986724611,231.70627781243763,152.87510104266354
9,724.6243374898194,186.17139403412045,174.52024038177956
10,1233.1094600170125,170.84700742137426,168.18839737595326
11,1413.9341128770136,166.39311166840795,203.96402060424646
12,1468.8606307386635,96.95046778385698,198.2571182543842
13,1556.1104420922152,94.58011747008374,193.2825708876657
14,1535.0830724624905,95.77425477685249,228.11684778828285
15,1379.223898836427,76.7369404756853,217.9312257252474
16,1263.9676364853713,103.39965244356242,175.04531435419128
17,939.6244703738375,150.47980300918022,172.62238834512908
18,502.33495342186353,222.7863812804136,138.18724560299984
19,156.43352346955504,285.49900859073836,147.45085679667335
20,61.59751451916564,357.8679016370516,154.68294427950107
21,0.0,376.54736379637615,131.76776910952657
22,0.0,371.1028589005277,156.8554418028757
23,0.0,457.22388451641746,111.81878917476249
24,0.0,360.26048130501897,114.70175764965691
25,0.0,265.1041608817452,143.07797786379226
26,0.0,189.4189001370053,157.45663421834314
27,0.0,197.53600880322014,188.87806454138817
28,0.0,184.7958919904307,172.79602894347667
29,65.50805706661998,167.81485985191364,159.69345314616683
30,255.23134280144282,182.16531951653656,138.6187398967049
31,626.8057449543398,240.62202551527182,140.30747798123664
32,869.2816046586385,281.2569034867124,134.06328970997552
33,1181.4494327129876,247.8006554418876,152.3534735830745
34,1455.6480833814596,268.0307497652108,201.18003386111806
35,1480.1520337611757,237.31474013575732,283.6577049000882
36,1534.72983773699,236.00738772220745,349.4045618239699
37,1233.5595861759243,217.08080572441742,391.00182804271634
38,1268.6615303269036,233.453463198107,455.81480209625187
39,1344.9413817831523,210.90791913473916,468.19990616298935
40,1094.5741705107155,218.88961850138048,491.7800043875907
41,886.8728754192058,197.29613278353594,483.3971901829746
42,513.1141939936657,201.15981156225558,452.3406316600294
43,201.03809525653998,201.67131011040163,373.60404207121405
44,46.57552610081127,212.0757400088389,330.44117589903396
45,0.0,208.24758519382362,279.2671722267185
46,0.0,208.43236268927885,266.04737189149284
47,0.0,374.0070262260544,275.8486546055298
48,0.0,385.20466303028843,262.27349950281064
49,0.0,399.6663189629803,244.19671424196943
50,0.0,406.9628579028623,235.24305034357943
51,0.0,453.58818730734566,228.93428071644533
52,0.0,415.9178302290391,240.82172262963633
53,117.41907773358672,377.8226486350854,233.31982202385575
54,228.17786623762188,325.0098664164705,229.09792177266087
55,276.42613330852305,299.0378729576601,237.9360684530422
56,462.2625535283495,304.27983718718747,221.15175427481245
57,776.0623750858372,296.96109298405975,267.9976237617571
58,1310.13565390582,268.1228310733997,244.177311780671
59,1221.8796263932918,289.36513863639465,267.74188453202584
60,1263.9987836489727,247.39148052259017,304.17701545508135
61,1294.0354440372782,207.67443226077415,328.2246627900306
62,1350.2981504595296,206.84139277119908,367.0261154755609
63,1011.5803903025143,200.72921646415435,396.80716201417
64,1021.4619039506221,243.58790275896382,448.25071583650464
65,682.2960005809839,293.9647940942094,457.60720630342803
66,444.11856085811337,325.59907188545077,433.1896131923472
67,187.13973363951362,356.3285994229189,364.5996062035279
68,80.2648350503876,319.2574877976628,334.29389191542236
69,0.0,326.8111724305548,274.27676263239584
70,0.0,292.24104202689256,247.3902932621584
71,0.0,233.58061104140307,177.71373437251967
72,0.0,188.81927998998955,159.42880548226847
73,0.0,241.30608949691998,159.15630201998545
74,0.0,280.4800436285854,152.27868205081856
75,0.0,360.62813218248806,158.78327614544258
76,14.789650948189049,346.8476858165636,142.71514028634996
77,36.667815155728235,330.50205787534895,167.07446294684615
78,137.12367636811575,331.2110911639644,151.5506343343581
79,300.04810869864053,370.2187500004011,181.41307771334908
80,338.6991700286985,328.22716519700657,176.90549159958633
81,704.9125639428739,328.33025714564604,208.3309912233768
82,1043.933418225522,305.0094154844446,219.0087378748179
83,1310.4726020571384,336.71806363562564,219.8128747865375
84,1397.451968019972,344.0005661736792,231.32315290148952
85,1225.475812415524,389.4548384192339,305.74001614034756
86,1073.57935303332,451.32161447740265,338.02561545835147
87,785.9280526620934,504.4670481362372,373.14247414647247
88,726.3173471058296,516.596032389201,430.646462651535
89,502.74893538945884,510.519300049188,419.9941371489936
90,492.6107680934326,510.15156047434436,407.72425815957615
91,399.7101802486421,506.371849277629,351.52059486582897
92,0.0,483.97403350605646,320.91439655868896
93,0.0,430.5091569897936,284.78361645937315
94,0.0,354.1181838428249,282.5983162036575
95,0.0,363.2088416229945,250.8134001401369
96,0.0,290.60343491913545,219.85208343149415
97,0.0,272.346177002005,170.22329930762714
98,0.0,227.2537179681536,171.80221807659362
99,0.0,196.04743182281305,161.06990536594026
100,12.986620011562653,205.270622150978,127.59854627768391
101,25.06678454738777,209.15548079681932,135.96834076166536
102,273.81081804724806,248.63405225647875,111.58652479586486
103,334.13587921519,245.1855919056108,80.843012752812
104,686.1139225951106,199.31006455098913,101.07740131820748
105,847.8178430316968,186.11831996375201,66.71808474281366
106,743.9861226130851,172.54213311206382,83.36833317534857
107,940.7976559022578,152.27157267991035,102.0022209342217
108,928.5819075075372,165.8098224817616,93.73901421782219
109,994.7851484486197,147.35992533420907,119.00291210618208
110,1067.6102886462563,174.9774896524007,168.8694352359069
111,940.7739348889919,151.49583012314855,171.73659203256608
112,710.5540525319484,180.9535519404266,192.72404848191655
113,505.8515214862992,195.91391457997497,198.21612294016492
114,328.3167871183601,164.53319056764911,186.63789582303755
115,269.29397660033936,169.07127006366608,209.8730695070227
116,127.44681409872142,153.40444258470276,175.95831559349372
117,0.0,105.58950734418335,159.72836870732644
118,0.0,71.8664342456204,172.8547043383546
119,0.0,13.292411081805543,170.1884659137014
120,0.0,28.429914590459944,125.42220034176565
121,0.0,23.563475082689465,132.99566254518692
122,0.0,24.81416508001288,89.02051036839669
123,0.0,0.0,112.21739124347795
124,0.0,31.700146433321976,78.11405788137218
125,92.48393226620829,29.228823113624603,69.91949228376293
126,237.38497891135682,31.485218039445932,42.09425383807895
127,355.6158046662573,27.589746008405978,55.85377008961138
128,535.2031894353905,20.53093637713228,26.008911253015434
129,823.1155287942667,16.71823092645367,64.03028868249008
130,802.2862686191636,28.300144520130928,51.44223162160222
131,961.2103930366566,1.5535352925193422,27.87003508389151
132,1184.718205019927,24.36025622381557,52.91170152531552
133,1537.4443997600251,8.703690135757737,52.58218948323119
134,1493.151496704122,29.542217632902492,47.591959306091226
135,1379.566129112815,24.03401811249698,52.88355376316024
136,1265.2025876654677,7.800646000327351,73.26792459751806
137,868.2242303705742,0.0,59.00423919218846
138,508.4334453311027,0.6440813534074294,73.25245496314734
139,268.83375922671945,0.6933774581820185,80.01403357060981
140,34.6916337278315,21.219848068896106,89.52720171273468
