,DAM price
0,36.22903914919932
1,35.17756910682919
2,32.770124787288985
3,31.372915058900784
4,35.023494874254894
5,41.568719715728335
6,49.38589470544914
7,50.23779800435969
8,53.22353684213314
9,51.87799311754949
10,53.82291390333358
11,50.573458278752234
12,49.46180595112463
13,45.904529612301886
14,45.254112803002705
15,46.55134001149977
16,48.18217250265375
17,49.6746505781309
18,52.916353834036144
19,47.714643556311515
20,46.3129160049335
21,47.50858314267022
22,40.22798439246135
23,39.029426495910755
24,37.91704963485375
25,37.25678297649354
26,32.20627231348928
27,31.144892216054448
28,33.29226157160528
29,41.048255845080035
30,49.95449775716241
31,55.479120206350146
32,55.57708382797327
33,52.74337548719019
34,51.95062939126324
35,45.31735889614374
36,41.24916958710727
37,40.45367316054635
38,38.71690015716613
39,38.835590925419474
40,40.98592696385537
41,44.41985432084582
42,49.02147448722052
43,44.28469180835303
44,42.4642106981693
45,42.92182666276859
46,42.05888445261219
47,41.201708440764484
48,38.35508628764445
49,36.67774329552394
50,34.67502622971925
51,33.52093334291415
52,34.00103403531212
53,34.48034224117219
54,36.431998842385646
55,38.38560313356862
56,39.07846736841677
57,40.662518259535005
58,39.48339723611712
59,36.92420180351482
60,34.92908981457808
61,33.690297288603524
62,33.00155695064606
63,34.3390299810543
64,34.13249289588031
65,37.72105003762875
66,37.37973416123518
67,37.77785302664202
68,38.4175122848634
69,41.36366778559005
70,38.59049576623637
71,35.569347488559046
72,35.711761985868165
73,33.267090692692776
74,34.53688070223212
75,31.251368588035128
76,30.9592123065516
77,27.88460882861466
78,20.616766071210886
79,29.785988411411836
80,35.761705023528435
81,31.974563289477775
82,30.778513652866355
83,35.05664686084848
84,35.58774868427353
85,22.246015168294434
86,30.979057542396642
87,19.26239817241741
88,12.228198606050423
89,31.877937353674206
90,40.87932579568302
91,41.47920558249233
92,40.31012474219569
93,44.998293103898206
94,38.73278349748213
95,37.79529421405346
96,33.48871352536616
97,32.19507400586628
98,29.43617597909498
99,29.58274122183508
100,37.10879529200702
101,37.676258994559504
102,47.038422209485184
103,51.6858222869647
104,49.10945394600018
105,47.828796660083384
106,44.38760231012512
107,43.845284650014925
108,41.40447542673569
109,38.83923967412983
110,40.136805600932
111,38.26328549703043
112,38.738852687814116
113,43.180366676006564
114,46.54014807845911
115,44.02443340994571
116,43.352390086090786
117,44.101120584369355
118,38.878755040439486
119,36.888851172919495
120,35.84785112577399
121,34.86030430452339
122,33.57030278525103
123,33.42157909973628
124,35.327675993294584
125,38.901972872933825
126,47.503741361552194
127,48.59521972186238
128,47.86388540428659
129,46.18816222441141
130,46.90099489807407
131,41.472340641141216
132,40.45618604474566
133,39.85893403713588
134,38.04460270112271
135,39.26463283150641
136,45.09092839128605
137,48.12962166784963
138,52.34558481139976
139,50.83643690587761
140,48.636369728492134
141,48.98611873081072
142,45.4013593578015
143,40.85364191432369
