,DAM price
0,33.06689947409583
1,36.37312714146794
2,32.55121874319089
3,22.944916834888165
4,28.2699042064369
5,36.53268097546628
6,49.799890977542105
7,49.48309915817369
8,56.35487693169263
9,54.44991703840634
10,53.52461133788411
11,42.16689166165649
12,35.85141854058914
13,38.635399163511856
14,36.1535456261613
15,38.37416979318136
16,36.31864618527926
17,45.39481229292866
18,57.25633317656489
19,84.94803937361304
20,57.757668653089524
21,57.75052855909266
22,41.04825688721707
23,41.60348127161406
24,38.12090213935701
25,37.79894429448961
26,36.656439190054385
27,35.17498274114187
28,36.141113753988336
29,39.8868726709069
30,46.74921894685357
31,52.17396456021901
32,54.28119061759321
33,49.23162621816418
34,46.73599386707791
35,45.365849352947
36,45.336734819122675
37,43.05953225356049
38,43.3985201567093
39,43.64975106218986
40,44.915395631619
41,48.98308829335085
42,60.467466698486604
43,60.976987188649176
44,53.13981591709791
45,47.49456396480077
46,44.63161954407624
47,42.00262604059684
48,37.53880753808887
49,35.24237921557143
50,34.955217084088616
51,35.26684371338206
52,33.32955006017411
53,37.4192921701737
54,47.44543577723809
55,51.54209489478606
56,55.66561958186865
57,48.39822547004654
58,44.4917951991345
59,41.432329409884154
60,38.09976437670527
61,36.137990815185816
62,38.575922356340286
63,39.86862998210668
64,41.681989169842296
65,44.72961765093875
66,53.4519526344436
67,54.9027156798101
68,50.35232492481735
69,43.68698242180348
70,44.14408549005434
71,41.59090540899581
72,35.15260544236131
73,35.66733180218733
74,33.98333922765825
75,31.96875680950309
76,34.570471243420165
77,36.20414699060012
78,45.11339108602368
79,52.46190749429019
80,46.299811770943684
81,47.948166562451895
82,38.935627342793616
83,35.40108072798644
84,34.28723620694545
85,35.122333217765494
86,36.665807197803446
87,35.435974457206676
88,38.73349716263269
89,42.76723119329234
90,48.35438068458047
91,54.88450534041307
92,47.793301465928664
93,41.45847535788509
94,42.09432461939014
95,39.701609238270606
96,39.62666703747229
97,35.243202859877414
98,37.0191743567032
99,36.38843957083153
100,35.631982866870544
101,38.98877546164758
102,44.962380453184345
103,50.52385482041284
104,49.19518855096594
105,44.490697245654154
106,41.405060328344945
107,36.799583603863994
108,33.777145988827634
109,34.67170042744708
110,35.800930277468595
111,35.22522919180367
112,38.540178861550565
113,43.605545732200284
114,46.65701467295427
115,50.93770088588173
116,46.6614724040495
117,41.617909191516375
118,41.776658959675274
119,37.138596791141545
120,35.251414683955474
121,33.83927803351097
122,34.13461739539411
123,33.27929210370191
124,33.12615450438652
125,34.29605923320046
126,36.1261049424477
127,38.550178174715334
128,38.66536852228872
129,39.537094416467156
130,35.92452083603639
131,35.0536462319421
132,31.387172265494407
133,29.395121989392372
134,30.13495701859719
135,31.24821503347445
136,34.39860010292962
137,42.16938959075152
138,40.97211723958099
139,46.350718563970524
140,42.82048528722089
141,39.59614025176061
142,40.74736053586023
143,36.93236336656906
