,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Import,Import,Import,Import
,Biomass,Fossil Gas,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Nuclear,Other,Solar,Waste,Wind Offshore,Wind Onshore,NL,FR,GB,DE_LU
0,291.7306696027487,3242.687562574671,0.0,20.10489823676555,2.012104265055183,2438.8838627417035,413.11855207045835,0.0,271.6037050239136,0.0,118.74186198929273,2002.936816401153,0.0,34.437368026547816,9.673591989884775
1,291.86515109184177,3174.4077740067255,0.0,17.1544802718011,2.082486695274718,2438.9322711484588,401.6750361651959,0.0,269.60230177146167,42.60517361422924,138.8766045870181,2167.4261389624703,0.0,5.180534102893452,4.557561768367682
2,291.64239282938945,3214.8146009207935,0.0,69.76350107993181,2.0617659236199213,2466.987104637708,400.80505535381116,0.0,270.738365722339,0.0,115.01821706396177,2102.8916204841844,0.0,0.0,6.386679567836597
3,292.0872942598141,3228.695847417684,0.0,-20.27655296195099,1.9515276126642163,2475.213401344098,381.6923437988089,0.0,271.5759845203186,32.28329278755606,172.7059813241076,2052.87655511357,0.0,0.0,0.0
4,293.4284640285707,3270.006288572069,0.0,-511.3964037115248,1.9315135699319566,2441.3859662691802,401.1142357314374,0.0,270.68149724338275,0.0,128.35331839935208,2211.598560262134,0.0,0.0,0.0
5,292.4555325893086,3202.878580637115,0.0,-515.12676475115,2.036864046684676,2526.897960822675,390.1002601204862,0.0,267.53496982558266,0.0,124.67895025913819,2268.6929996390845,0.0,0.0,0.0
6,293.1076037880093,3202.041705909768,0.0,-550.4889892942626,1.9574608050800895,2495.6256701375273,411.3322864619918,0.0,267.4793944834335,0.0,145.7798773728022,2233.3735595817534,0.0,0.0,0.0
7,292.7251664342749,3228.9084230611716,0.0,-498.9129377910638,1.9708563219463529,2477.5006158220945,394.2836898561033,0.0,265.6050049792954,91.40151727547561,148.51213143069825,2203.400816904251,0.0,0.0,0.0
8,293.40124987277,3221.9925654495296,0.0,-705.5173502038775,2.108881903843944,2445.2637826291148,376.68228129253964,0.0,266.3213289321225,10.2930088359632,116.73651028401902,1956.9724086192077,0.0,0.0,0.0
9,293.65562864829076,3339.932642342493,0.0,-649.4589966976713,1.9712696741281621,2527.928237037678,418.86962283488987,0.0,267.30610868638973,0.0,102.42774653588936,1982.0951855837172,0.0,0.0,0.0
